ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA
35186,American Indian/Alaska Native Foods,Corned beef and potatoes in tortilla (Apache),224,7.91,8.31,29.35,1.79,1.5,0,0.214,0.23,0,0.2,0,2.545,0.135,0.277,27,0.066,1.8,22,0.31,82,11.3,0.88,0,0.125882353,0.095833333,0,0.013333333,0,0.1590625,0.103846154,0.230833333,0.0225,7.33E-05,0.052380952,0.117142857,0.205454545,0.08
10203,Pork Products,"Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted",214,28.81,10.13,0,0,0,0,0.4,0.55,0.4,0,9,5.355,0.312,0.639,6,0.012,1,24,0.011,222,43.2,2.83,0,0.235294118,0.229166667,0.004444444,0,0.0225,0.3346875,0.24,0.5325,0.005,1.33E-05,0.057142857,0.317142857,0.785454545,0.257272727
10985,Pork Products,"Pork, fresh, loin, country-style ribs, separable lean only, boneless, cooked, broiled",216,27.83,11.65,0,0,0,3,0.575,0.73,0,0.26,0,9.152,0.367,0.571,7,0.069,0.92,26,0.01,285,47.4,2.46,0.003333333,0.338235294,0.304166667,0,0.017333333,0,0.572,0.282307692,0.475833333,0.005833333,7.67E-05,0.061904762,0.407142857,0.861818182,0.223636364
10201,Pork Products,"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, broiled",216,29.46,10.05,0,0,0,2,0.4,0.7,0.3,0,9,5.231,0.323,0.894,31,0.07,0.82,28,0.02,245,47.3,2.38,0.002222222,0.235294118,0.291666667,0.003333333,0,0.0225,0.3269375,0.248461538,0.745,0.025833333,7.78E-05,0.066666667,0.35,0.86,0.216363636
23427,Beef Products,"Beef, New Zealand, imported, manufacturing beef, raw",119,21.23,3.68,0.23,0,0,10,0.194,1.41,0,0.49,0,2.908,0.107,0.055,6,0.074,1.95,21,0.008,182,1.1,4.28,0.011111111,0.114117647,0.5875,0,0.032666667,0,0.18175,0.082307692,0.045833333,0.005,8.22E-05,0.05,0.26,0.02,0.389090909
13364,Beef Products,"Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0"" fat, all grades, cooked",211,29.88,9.28,0,0,0,0,0.35,2.64,0,0.14,8,4,0.24,0.09,8,0.124,2.99,26,0.019,231,21.3,6.78,0,0.205882353,1.1,0,0.009333333,0.02,0.25,0.184615385,0.075,0.006666667,0.000137778,0.061904762,0.33,0.387272727,0.616363636
23121,Beef Products,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",211,31.86,9.34,0,0,0,7,0.398,4.35,0,0.1,8,3.87,0.281,0.079,15,0.142,3.21,22,0.047,230,39.2,10.31,0.007777778,0.234117647,1.8125,0,0.006666667,0.02,0.241875,0.216153846,0.065833333,0.0125,0.000157778,0.052380952,0.328571429,0.712727273,0.937272727
2030,Spices and Herbs,"Spices, pepper, black",251,10.39,3.26,63.95,0.64,25.3,27,0.291,0,0,1.04,17,1.143,0.18,0.108,443,1.33,9.71,171,12.753,158,4.9,1.19,0.03,0.171176471,0,0,0.069333333,0.0425,0.0714375,0.138461538,0.09,0.369166667,0.001477778,0.407142857,0.225714286,0.089090909,0.108181818
2017,Spices and Herbs,"Spices, dill weed, dried",253,19.96,4.36,55.82,0,13.6,293,1.71,0,50,0,0,2.807,0.284,0.418,1784,0.49,48.78,451,3.95,543,0,3.3,0.325555556,1.005882353,0,0.555555556,0,0,0.1754375,0.218461538,0.348333333,1.486666667,0.000544444,1.073809524,0.775714286,0,0.3
2001,Spices and Herbs,"Spices, allspice, ground",263,6.09,8.69,72.12,0,21.6,27,0.21,0,39.2,0,36,2.86,0.063,0.101,661,0.553,7.06,135,2.943,113,2.7,1.01,0.03,0.123529412,0,0.435555556,0,0.09,0.17875,0.048461538,0.084166667,0.550833333,0.000614444,0.321428571,0.161428571,0.049090909,0.091818182
4025,Fats and Oils,"Salad dressing, mayonnaise, regular",680,0.96,74.85,0.57,0.57,0,16,0.008,0.12,0,3.28,5,0,0.019,0.01,8,0.019,0.21,1,0.007,21,2.3,0.15,0.01777778,0.00470588,0.05,0,0.21866667,0.0125,0,0.01461539,0.00833333,0.00666667,2.11E-05,0.00238095,0.03,0.04181818,0.01363636
43598,Fats and Oils,"Mayonnaise dressing, no cholesterol",688,0,77.8,0.3,0.3,0,0,0.01,0,0,11.79,0,0.01,0.06,0.01,7,0,0.23,1,0,25,1.6,0.13,0,0.00588235,0,0,0.786,0,0.000625,0.04615385,0.00833333,0.00583333,0,0.00238095,0.03571429,0.02909091,0.01181818
